Thu Jun 29 09:19:09 2023  [TRACE]: Start Initializing a b c A
Thu Jun 29 09:19:09 2023  [TRACE]: Processing coefs
Thu Jun 29 09:19:09 2023  [TRACE]: Calculating c
Thu Jun 29 09:19:09 2023  [TRACE]: Initializing fft
Thu Jun 29 09:19:09 2023  [TRACE]: Start iFFT A
Thu Jun 29 09:19:09 2023  [TRACE]: a After ifft:
Thu Jun 29 09:19:09 2023  [TRACE]: Start Shift A
Thu Jun 29 09:19:09 2023  [TRACE]: a After shift:
Thu Jun 29 09:19:09 2023  [TRACE]: Start FFT A
Thu Jun 29 09:19:10 2023  [TRACE]: a After fft:
Thu Jun 29 09:19:10 2023  [TRACE]: Start iFFT B
Thu Jun 29 09:19:10 2023  [TRACE]: b After ifft:
Thu Jun 29 09:19:10 2023  [TRACE]: Start Shift B
Thu Jun 29 09:19:10 2023  [TRACE]: b After shift:
Thu Jun 29 09:19:10 2023  [TRACE]: Start FFT B
Thu Jun 29 09:19:11 2023  [TRACE]: b After fft:
Thu Jun 29 09:19:11 2023  [TRACE]: Start iFFT C
Thu Jun 29 09:19:11 2023  [TRACE]: c After ifft:
Thu Jun 29 09:19:11 2023  [TRACE]: Start Shift C
Thu Jun 29 09:19:11 2023  [TRACE]: c After shift:
Thu Jun 29 09:19:11 2023  [TRACE]: Start FFT C
Thu Jun 29 09:19:11 2023  [TRACE]: c After fft:
Thu Jun 29 09:19:11 2023  [TRACE]: Start ABC
Thu Jun 29 09:19:11 2023  [TRACE]: abc:
Thu Jun 29 09:19:11 2023  [TRACE]: Start Multiexp H
Thu Jun 29 09:19:16 2023  [TRACE]: Start Multiexp A
Thu Jun 29 09:19:16 2023  [TRACE]: Start Multiexp B1
Thu Jun 29 09:19:17 2023  [TRACE]: Start Multiexp B2
Thu Jun 29 09:19:17 2023  [TRACE]: Start Multiexp C
Fri Jun 30 01:37:55 2023  [TRACE]: Start Initializing a b c A
Fri Jun 30 01:37:55 2023  [TRACE]: Processing coefs
Fri Jun 30 01:37:55 2023  [TRACE]: Calculating c
Fri Jun 30 01:37:55 2023  [TRACE]: Initializing fft
Fri Jun 30 01:37:55 2023  [TRACE]: Start iFFT A
Fri Jun 30 01:37:55 2023  [TRACE]: a After ifft:
Fri Jun 30 01:37:55 2023  [TRACE]: Start Shift A
Fri Jun 30 01:37:55 2023  [TRACE]: a After shift:
Fri Jun 30 01:37:55 2023  [TRACE]: Start FFT A
Fri Jun 30 01:37:56 2023  [TRACE]: a After fft:
Fri Jun 30 01:37:56 2023  [TRACE]: Start iFFT B
Fri Jun 30 01:37:56 2023  [TRACE]: b After ifft:
Fri Jun 30 01:37:56 2023  [TRACE]: Start Shift B
Fri Jun 30 01:37:56 2023  [TRACE]: b After shift:
Fri Jun 30 01:37:56 2023  [TRACE]: Start FFT B
Fri Jun 30 01:37:56 2023  [TRACE]: b After fft:
Fri Jun 30 01:37:56 2023  [TRACE]: Start iFFT C
Fri Jun 30 01:37:57 2023  [TRACE]: c After ifft:
Fri Jun 30 01:37:57 2023  [TRACE]: Start Shift C
Fri Jun 30 01:37:57 2023  [TRACE]: c After shift:
Fri Jun 30 01:37:57 2023  [TRACE]: Start FFT C
Fri Jun 30 01:37:57 2023  [TRACE]: c After fft:
Fri Jun 30 01:37:57 2023  [TRACE]: Start ABC
Fri Jun 30 01:37:57 2023  [TRACE]: abc:
Fri Jun 30 01:37:57 2023  [TRACE]: Start Multiexp H
Fri Jun 30 01:38:02 2023  [TRACE]: Start Multiexp A
Fri Jun 30 01:38:02 2023  [TRACE]: Start Multiexp B1
Fri Jun 30 01:38:03 2023  [TRACE]: Start Multiexp B2
Fri Jun 30 01:38:03 2023  [TRACE]: Start Multiexp C
Tue Jul  4 01:52:19 2023  [TRACE]: Start Initializing a b c A
Tue Jul  4 01:52:19 2023  [TRACE]: Processing coefs
Tue Jul  4 01:52:19 2023  [TRACE]: Calculating c
Tue Jul  4 01:52:19 2023  [TRACE]: Initializing fft
Tue Jul  4 01:52:19 2023  [TRACE]: Start iFFT A
Tue Jul  4 01:52:20 2023  [TRACE]: a After ifft:
Tue Jul  4 01:52:20 2023  [TRACE]: Start Shift A
Tue Jul  4 01:52:20 2023  [TRACE]: a After shift:
Tue Jul  4 01:52:20 2023  [TRACE]: Start FFT A
Tue Jul  4 01:52:20 2023  [TRACE]: a After fft:
Tue Jul  4 01:52:20 2023  [TRACE]: Start iFFT B
Tue Jul  4 01:52:21 2023  [TRACE]: b After ifft:
Tue Jul  4 01:52:21 2023  [TRACE]: Start Shift B
Tue Jul  4 01:52:21 2023  [TRACE]: b After shift:
Tue Jul  4 01:52:21 2023  [TRACE]: Start FFT B
Tue Jul  4 01:52:21 2023  [TRACE]: b After fft:
Tue Jul  4 01:52:21 2023  [TRACE]: Start iFFT C
Tue Jul  4 01:52:21 2023  [TRACE]: c After ifft:
Tue Jul  4 01:52:21 2023  [TRACE]: Start Shift C
Tue Jul  4 01:52:21 2023  [TRACE]: c After shift:
Tue Jul  4 01:52:21 2023  [TRACE]: Start FFT C
Tue Jul  4 01:52:22 2023  [TRACE]: c After fft:
Tue Jul  4 01:52:22 2023  [TRACE]: Start ABC
Tue Jul  4 01:52:22 2023  [TRACE]: abc:
Tue Jul  4 01:52:22 2023  [TRACE]: Start Multiexp H
Tue Jul  4 01:52:26 2023  [TRACE]: Start Multiexp A
Tue Jul  4 01:52:27 2023  [TRACE]: Start Multiexp B1
Tue Jul  4 01:52:27 2023  [TRACE]: Start Multiexp B2
Tue Jul  4 01:52:28 2023  [TRACE]: Start Multiexp C
Tue Jul  4 02:51:28 2023  [TRACE]: Start Initializing a b c A
Tue Jul  4 02:51:28 2023  [TRACE]: Processing coefs
Tue Jul  4 02:51:28 2023  [TRACE]: Calculating c
Tue Jul  4 02:51:28 2023  [TRACE]: Initializing fft
Tue Jul  4 02:51:28 2023  [TRACE]: Start iFFT A
Tue Jul  4 02:51:28 2023  [TRACE]: a After ifft:
Tue Jul  4 02:51:28 2023  [TRACE]: Start Shift A
Tue Jul  4 02:51:28 2023  [TRACE]: a After shift:
Tue Jul  4 02:51:28 2023  [TRACE]: Start FFT A
Tue Jul  4 02:51:29 2023  [TRACE]: a After fft:
Tue Jul  4 02:51:29 2023  [TRACE]: Start iFFT B
Tue Jul  4 02:51:29 2023  [TRACE]: b After ifft:
Tue Jul  4 02:51:29 2023  [TRACE]: Start Shift B
Tue Jul  4 02:51:29 2023  [TRACE]: b After shift:
Tue Jul  4 02:51:29 2023  [TRACE]: Start FFT B
Tue Jul  4 02:51:29 2023  [TRACE]: b After fft:
Tue Jul  4 02:51:29 2023  [TRACE]: Start iFFT C
Tue Jul  4 02:51:30 2023  [TRACE]: c After ifft:
Tue Jul  4 02:51:30 2023  [TRACE]: Start Shift C
Tue Jul  4 02:51:30 2023  [TRACE]: c After shift:
Tue Jul  4 02:51:30 2023  [TRACE]: Start FFT C
Tue Jul  4 02:51:30 2023  [TRACE]: c After fft:
Tue Jul  4 02:51:30 2023  [TRACE]: Start ABC
Tue Jul  4 02:51:30 2023  [TRACE]: abc:
Tue Jul  4 02:51:30 2023  [TRACE]: Start Multiexp H
Tue Jul  4 02:51:35 2023  [TRACE]: Start Multiexp A
Tue Jul  4 02:51:35 2023  [TRACE]: Start Multiexp B1
Tue Jul  4 02:51:35 2023  [TRACE]: Start Multiexp B2
Tue Jul  4 02:51:36 2023  [TRACE]: Start Multiexp C
Tue Jul  4 02:52:23 2023  [TRACE]: Start Initializing a b c A
Tue Jul  4 02:52:23 2023  [TRACE]: Processing coefs
Tue Jul  4 02:52:23 2023  [TRACE]: Calculating c
Tue Jul  4 02:52:23 2023  [TRACE]: Initializing fft
Tue Jul  4 02:52:23 2023  [TRACE]: Start iFFT A
Tue Jul  4 02:52:24 2023  [TRACE]: a After ifft:
Tue Jul  4 02:52:24 2023  [TRACE]: Start Shift A
Tue Jul  4 02:52:24 2023  [TRACE]: a After shift:
Tue Jul  4 02:52:24 2023  [TRACE]: Start FFT A
Tue Jul  4 02:52:24 2023  [TRACE]: a After fft:
Tue Jul  4 02:52:24 2023  [TRACE]: Start iFFT B
Tue Jul  4 02:52:25 2023  [TRACE]: b After ifft:
Tue Jul  4 02:52:25 2023  [TRACE]: Start Shift B
Tue Jul  4 02:52:25 2023  [TRACE]: b After shift:
Tue Jul  4 02:52:25 2023  [TRACE]: Start FFT B
Tue Jul  4 02:52:25 2023  [TRACE]: b After fft:
Tue Jul  4 02:52:25 2023  [TRACE]: Start iFFT C
Tue Jul  4 02:52:25 2023  [TRACE]: c After ifft:
Tue Jul  4 02:52:25 2023  [TRACE]: Start Shift C
Tue Jul  4 02:52:25 2023  [TRACE]: c After shift:
Tue Jul  4 02:52:25 2023  [TRACE]: Start FFT C
Tue Jul  4 02:52:26 2023  [TRACE]: c After fft:
Tue Jul  4 02:52:26 2023  [TRACE]: Start ABC
Tue Jul  4 02:52:26 2023  [TRACE]: abc:
Tue Jul  4 02:52:26 2023  [TRACE]: Start Multiexp H
Tue Jul  4 02:52:30 2023  [TRACE]: Start Multiexp A
Tue Jul  4 02:52:31 2023  [TRACE]: Start Multiexp B1
Tue Jul  4 02:52:31 2023  [TRACE]: Start Multiexp B2
Tue Jul  4 02:52:32 2023  [TRACE]: Start Multiexp C
